Name,Address,Description,Phone,2nd Phone,Website
Ontario Public Service Employees Union,"7-1800 Dundas St E, Whitby, ON L1N 2L4",No description,905-720-3434,No second phone number,www.opseu.org
Pensioners Local 506 Recreation Centre,"3750 Chesswood Dr, North York, ON M3J 2W6",No description,416-633-5784,No second phone number,No website
Ambercroft Labourers Local 506 Training Centre,"3750 Chesswood Dr, North York, ON M3J 2W6",No description,416-633-7517,No second phone number,www.facebook.com%2F311861062640
Labourers International Union Local 506,"3750 Chesswood Dr, North York, ON M3J 2W6",No description,416-638-1334,No second phone number,No website
C A W Local 1285 Canadian Auto Workers,"23 Regan Rd, Brampton, ON L7A 1B2","Unifor Local 1285 formally known as Canadian Auto Workers Local 1285 represents over 7000 proud and active members helping to build a better community. We have been leaders in the ...
more...
See more text",905-451-7847,No second phone number,www.cawlocal1285.ca
C A W Local 1285 Canadian Auto Workers,"23 Regan Rd, Brampton, ON L7A 1B2",No description,905-451-8310,No second phone number,www.cawlocal.ca%2F1
C A W Local 1285 Canadian Auto Workers,"23 Regan Rd, Brampton, ON L7A 1B2",No description,905-451-2691,No second phone number,No website
Brick And Allied Union,"1170 Sheppard Ave W, North York, ON M3K 2A3",No description,416-631-8340,No second phone number,www.facebook.com%2F999840040095
Canadian Construction Workers' Union,"1170 Sheppard W, North York, ON M3K 2A3",No description,416-762-2359,No second phone number,No website
Amalgamated Transit Union Local 1573,"16 Regan Rd, Brampton, ON L7A 1C1",No description,905-455-3660,No second phone number,www.atu1573.org
United Steelworkers,"115 Albert St, Oshawa, ON L1H 4R3",No description,905-576-6262,No second phone number,www.usw.ca%2Funion%2Fwho%2Fnatio
United Steelworkers Of America,"115 Albert St, Oshawa, ON L1H 4R3",No description,905-576-2210,No second phone number,No website
Communications Energy And Paperworkers Union,"115 Albert St, Oshawa, ON L1H 4R3",No description,905-576-2306,No second phone number,No website
Durham Regional Labour Council,"115 Albert St, Oshawa, ON L1H 4R3",No description,905-579-5188,No second phone number,www.durhamlabour.ca
Ontario Nurses Association,"1255 Sheppard Ave E, North York, ON M2K 1E2",No description,416-491-7564,No second phone number,No website
CAW Local 303,"142 Shorting Rd Main, Scarborough, ON M1S 3S6",No description,416-298-4463,No second phone number,No website
CUPE Local 1328,"209 Sheppard Ave E, Toronto, ON M2N 3A8",No description,416-512-9493,No second phone number,cupelocal1328.ca
True Value Abs,"60 Venture Dr, Scarborough, ON M1B 3S4",No description,416-286-8846,No second phone number,No website
Cupe Local 1764,"9-11 Stanley Ct, Whitby, ON L1N 8P9",No description,905-668-3611,No second phone number,No website
Unifor Local 1090,"1090-140 Hunt St, Ajax, ON L1S 1P5",No description,905-683-3510,No second phone number,www.cawlocal.ca
Ontario Public Sector,"2175 Sheppard Ave E, Toronto, ON M2J 1W8",No description,416-494-5457,No second phone number,www.facebook.com%2F2151978811784
Unifor Local 975,"1585 Markham Rd, Scarborough, ON M1B 2W1",No description,647-349-2049,No second phone number,No website
Caw Local 1000,"2207 Kipling Ave, Etobicoke, ON M9W 4L2",No description,416-849-6242,No second phone number,No website
Telecommunications Workers Union,"10 Milner Business Crt, Scarborough, ON M1B 3C6","The Telecommunications Workers Union has a long and proud history of representing communications workers and workers in related fields. We strive to negotiate collective agreements...
more...
See more text",416-506-0741,No second phone number,www.twu-stt.ca
Electrical Workers LocalOf Electrical WorkersLocal Union 353 Non-Profit Centre,"423 Bloor St W, Oshawa, ON L1J 5Y5",No description,905-434-1874,No second phone number,No website
Professional Student Services Personnel,"255 Duncan Mill Rd, North York, ON M3B 3H9",No description,647-348-3351,No second phone number,No website
Cupe Local 145,"152 Queen St E, Brampton, ON L6V 1B2",No description,905-450-6122,No second phone number,cupe.ca
CUPE Local 145,"152 Queen St E, Brampton, ON L6V 1B2",No description,905-450-8663,No second phone number,cupe.ca
International Association of Machinists & Aerospace Workers No. 905,"574 Monarch Ave, Ajax, ON L1S 2G8",No description,905-683-4677,No second phone number,No website
Csn,"20 O'Dell Crt, Ajax, ON L1S 2W7",No description,905-683-9116,No second phone number,No website
Ontario Public Service Employees Union,"100 Lesmill Rd, North York, ON M3B 3P8",No description,416-443-8888,No second phone number,www.opseu.org
Canadian Union Of Postal Workers Scarborough Loc,"2250 Midland Ave, Scarborough, ON M1P 4R9",No description,416-412-1100,No second phone number,www.facebook.com%2F256392188509
Unifor Local 27c,"2265 Midland Ave, Scarborough, ON M1P 4S2",No description,416-447-5255,1-888-562-2527,www.unifor27c.ca
Ns,"50 Valleybrook Dr, North York, ON M3B 2S9",No description,416-331-9350,No second phone number,No website
Cupe Local 831,"19 John St, Brampton, ON L6W 1Z1",No description,905-846-0470,No second phone number,www.facebook.com%2F156575594968
District 140 I A M A W,"2580 Drew Rd, Mississauga, ON L4T 3M5",No description,905-671-3192,No second phone number,www.iamaw2323.ca
OPSEU 331,"700 Gordon St, Whitby, ON L1N 5S9",No description,905-666-8813,No second phone number,No website
Sheet Metal Workers Union Local 30,"14 Cosentino Dr, Scarborough, ON M1P 3A2","Currently, Local 30 has approximately 3500 members working in the sheet metal, roofing and siding and decking industries in the Greater Toronto Area. Our skilled tradesmen and wome...
more...
See more text",416-299-7260,No second phone number,www.smwia-l30.com
Local 557 Cwc,"Orenda, Brampton, ON",No description,905-792-2185,No second phone number,No website
Unifor Local,"712 Wilson Ave Main, North York, ON M3K 1E2",No description,416-636-5767,No second phone number,www.facebook.com%2Fpages%2FUnifor-Local-673%2F1139739509429
OPSEU Membership Centre,"620 Wilson Ave, North York, ON M3K 1Z3",No description,416-398-1183,No second phone number,No website
CUPE Local 218,"2080 Wentworth St, Whitby, ON L1N 8W9",No description,905-571-7879,No second phone number,www.cupe218.ca
International Brotherhood Of Electrical WorkersLocal 636,"1001 Ritson road S, Oshawa, ON L1H 4G5","Local 636 is committed to educating its members and keeping them aware of the issues which challenge them in the workplace. A full time Education and Training Officer provides the ...
more...
See more text",905-286-0330,No second phone number,www.ibewlocal636.com
Medical Pharmacy-Liuna Local 183,"1263 Wilson Ave, North York, ON M3M 3G2",No description,416-243-9361,No second phone number,www.liunalocal183.ca
Bricklayers Mason's Independent Union,"1263 Wilson Ave, North York, ON M3M 3G2",No description,416-249-9636,No second phone number,localone.ca
Laborers' International Union Of North America L ocal 183,"1263 Wilson Ave, North York, ON M3M 3G2",No description,416-241-9845,No second phone number,www.local183.ca
International Brotherhood of Electrical Workers,"1001 Ritson Rd S, Oshawa, ON L1H 4G5",No description,905-728-4411,No second phone number,No website
International Brotherhood Of Electrical,"3185 Orlando Dr, Mississauga, ON L4V 1C5","The International Brotherhood of Electrical Workers (IBEW) Local 353 is a forward thinking, highly skilled, and dedicated electrical union. IBEW Local 353 represents approximately ...
more...
See more text",905-677-0699,No second phone number,www.ibew353.org
International Brotherhood Of Electrical,"3185 Orlando Dr, Mississauga, ON L4V 1C5",No description,905-677-1217,No second phone number,www.ibew353.org
Canadian Union Of Public Employees Local 1750,"7370 Bramalea Rd, Mississauga, ON L5S 1N6",No description,905-676-0030,No second phone number,www.oceu.ca
C A W Local 1000,"2610 Weston Rd, North York, ON M9N 2B1",No description,416-849-6241,No second phone number,No website
CAW Canada,"15 Westcreek Blvd, Brampton, ON L6T 5T4",No description,905-874-4026,No second phone number,caw973.ca
Canadian Paperworkers Union Region 3,"200 Brockport Dr, Etobicoke, ON M9W 5C9",No description,416-675-5770,No second phone number,No website
Air Canada Component CUPE,"25 Belfield, Etobicoke, ON M9W 1E8",No description,416-675-5909,No second phone number,www.accomponent.ca
Energy & Chemical Workers Union-Local One StrikeHeadquarters,"1262 Don Mills Rd, North York, ON M3B 2W7",No description,416-444-9235,No second phone number,www.facebook.com%2F256650978139
CUPE Local 1280,"1262 Don Mills Rd, North York, ON M3B 2W7",No description,416-447-5943,No second phone number,No website
Air Canada Component Of Cupe,"25 Belfield Rd, Etobicoke, ON M9W 1E8",No description,1-877-411-3552,No second phone number,www.facebook.com%2F256998711402
Canadian Auto Workers Local 222,"1425 Phillip Murray Ave, Oshawa, ON L1J 8L4",No description,905-723-1187,1-800-465-5458,www.cawlocal.ca
Canadian Auto Workers Local 222,"1425 Phillip Murray Ave, Oshawa, ON L1J 8L4",No description,905-728-8600,No second phone number,caw.ca
Unifor Local 2002,"5-7015 Tranmere Dr, Mississauga, ON L5S 1T7",No description,905-678-1550,No second phone number,www.unifor2002.org
Unifor Local 2002,"5-7015 Tranmere Dr, Mississauga, ON L5S 1T7",No description,905-678-1551,No second phone number,No website
Unifor Local 2002,"7015 Tranmere Dr, Mississauga, ON L5S 1T7",No description,905-678-0100,No second phone number,No website
CAW National,"1400 Ritson Rd S, Oshawa, ON L1J 6N5",No description,905-438-1771,No second phone number,No website
Studio Press,"85 Nantucket Blvd, Scarborough, ON M1P 2N7",No description,416-755-5281,No second phone number,www.facebook.com%2F178811799526
CUPE Local 4098,"5980 Airport Rd, Mississauga, ON L4V 1R9",No description,905-678-6330,No second phone number,No website
Smwia,"234 Attwell Dr, Etobicoke, ON M9W 5B3",No description,416-674-8926,No second phone number,No website
Sheet Metal Workers Union Local 285,"234 Attwell Dr, Etobicoke, ON M9W 5B3",No description,416-630-1160,No second phone number,No website
IBEW,"1377 Lawrence Ave E, North York, ON M3A 3P8",No description,416-510-2759,No second phone number,No website
International Brotherhood,"1377 Lawrence Ave E, North York, ON M3A 3P8",No description,416-510-8762,No second phone number,No website
International Brotherhood Of Electric Workers,"1377 Lawrence Ave E, North York, ON M3A 3P8",No description,416-510-3530,No second phone number,www.facebook.com%2F587414524768
United Steelworkers,"200 Ronson Dr, Toronto, ON M9W 5Z9",No description,416-243-8792,No second phone number,www.usw.ca
United Steelworkers Dist 6 Office,"200 Ronson Dr, Etobicoke, ON M9W 5Z9",No description,416-243-8792,No second phone number,No website
Teamsters Canada,"5945 Airport Rd, Mississauga, ON L4V 1R9",No description,905-678-6652,No second phone number,www.teamsters.ca
Teamsters Joint Council No 52,"5945 Airport Rd, Mississauga, ON L4V 1R9","Located in Mississauga, Teamsters Joint Council No. 52 is a labour organization committed to creating a strong voice for its members. We're constantly striving to promote our membe...
more...
See more text",905-672-5959,1-800-259-6345,www.teamsters-canada.org
Unifor The Union Le Syndicat,"5915 Airport Rd, Mississauga, ON L4V 1T1",No description,905-678-0800,1-800-268-9040,www.facebook.com%2F1562359417389
Bacu L,"180 Attwell Dr, Etobicoke, ON M9W 6A9",No description,416-239-7374,No second phone number,www.linternaute.com
Bacu Canada,"180 Attwell Dr, Etobicoke, ON M9W 6A9",No description,416-236-0200,No second phone number,No website
I Am District,"557 Dixon Rd, Etobicoke, ON M9W 6K1",No description,416-225-9003,No second phone number,www.iamaw.ca
Service Employees International Union Canadian Ofc,"75 The Donway W, North York, ON M3C 2E9",No description,416-447-2311,No second phone number,www.windemerehomes.ca
Cupe Local 2553,"40 Playfair Ave, North York, ON M6B 2P9",No description,416-787-4241,No second phone number,cupe.ca
I A T S E Local 873 Picture Studio Production Technicians,"82 Carnforth Rd, North York, ON M4A 2K7",No description,416-368-0394,No second phone number,www.iatse873.com
International Alliance Of Theatrical Stage Employees Motion Picture Studio Production Technicians Local Eight Seventy Three,"82 Carnforth Rd, North York, ON M4A 2K7",No description,416-368-1873,No second phone number,No website
Communications Energy And Paperworkers Union Of Canada (CEP),"975 Kennedy Rd, Scarborough, ON M1P 2K5",No description,416-757-6600,No second phone number,No website
Communications Energy And Paperworkers Union Of Canada (CEP)Local 975 Local 975,"975 Kennedy Rd, Scarborough, ON M1P 2K5",No description,416-757-6600,No second phone number,No website
Canadian Union Of Postal Workers,"47 Densley Ave, North York, ON M6M 5A8",No description,416-241-9294,No second phone number,www.cupw.ca
Plumber & Pipefitters Union Local 401,"26 Caristrap St, Bowmanville, ON L1C 3Y7",No description,905-623-1666,No second phone number,www.ualocal401.ca
Cupe Local 1483,"6790 Davand Dr, Mississauga, ON L5T 2G5",No description,905-795-0003,No second phone number,www.facebook.com%2F131948177500
CAW Local 4457,"197 County Court Blvd, Brampton, ON L6W 4P6",No description,905-874-7874,No second phone number,www.algonquinpower.com
Teamsters 647,"979 Derry Rd E, Mississauga, ON L5T 2J7",No description,905-565-5825,No second phone number,No website
Brampton-Mississauga & District Labour Council,"404-989 Derry Rd E, Mississauga, ON L5T 2J8",No description,905-696-8882,No second phone number,www.bmdlc.ca
Cupe Local 5555,"380 Lake Rd, Bowmanville, ON L1C 4P8",No description,905-623-5356,1-855-737-5356,No website
Toronto Secondary Unit Oecta,"201-18 Wynford Dr, North York, ON M3C 3S2",No description,416-633-5502,No second phone number,www.tect.org
Provincial Building and Construction Trades Council of Ontario,"401-75 International Blvd, Etobicoke, ON M9W 6L9",No description,416-679-8887,No second phone number,www.ontariobuildingtrades.com
Teamsters Local Union 419,"1890 Meyerside Dr, Mississauga, ON L5T 1B4",No description,905-670-4190,No second phone number,www.teamsters419.ca
Teamsters Local Union 419,"1890 Meyerside Dr, Mississauga, ON L5T 1B4",No description,905-696-7159,No second phone number,No website
Unifor Local 333,"61 International Blvd, Etobicoke, ON M9W 6K4",No description,416-679-0088,No second phone number,www.cep333.ca
Local Union 12R24,"61 International Blvd, Etobicoke, ON M9W 6K4",No description,416-674-6606,No second phone number,No website
United Steelworkers,"234 Eglinton Ave E, Toronto, ON M4P 1K5",No description,416-487-1571,No second phone number,No website
Plumbers And Steamfitters Union Local 46,"936 Warden, ON M1L 4C9",No description,416-759-6597,No second phone number,No website
Ontario Federation of Labour,"202-15 Gervais Dr, North York, ON M3C 1Y8",No description,416-441-2731,1-800-668-9138,www.facebook.com%2FOFLabour
Plumbers And Steamfitters Union Local 46,"936 Warden Ave, Scarborough, ON M1L 4C9",No description,416-759-6597,No second phone number,ualocal46.org
P W T Drivers Association,"6999 Ordan Dr, Mississauga, ON L5T 1K6",No description,905-795-9587,No second phone number,No website
United Steel Workers Local,"400-234 Eglinton Ave E, Toronto, ON M4P 1K5",No description,416-483-0297,No second phone number,www.2004usw.ca
Canadian Union Of Skilled Workers,"244 Eglinton Ave E, Toronto, ON M4P 1K2",No description,1-877-575-3155,No second phone number,No website
Power Workers' Union,"244 Eglinton Ave E, Toronto, ON M4P 1K2","The Power Workers' Union (PWU) is the union of choice for the vast majority of people working to produce, transmit, distribute and service Ontario’s electricity sector. Established...
more...
See more text",416-481-4491,No second phone number,pwu.ca
United Steelworkers,"234 Eglinton Ave E, Toronto, ON M4P 1K5",No description,416-487-1571,1-877-669-8792,usw.ca
United SteelworkersNational Ofc National Ofc,"234 Eglinton Ave E, Toronto, ON M4P 1K5",No description,416-487-1571,No second phone number,No website
Public Service Alliance Of Canada,"90 Eglinton Ave E, Toronto, ON M4P 2Y3",No description,416-485-3558,No second phone number,psac.com
Society Of Energy Professionals,"2239 Yonge St, Toronto, ON M4S 2B5",No description,416-979-2709,No second phone number,www.facebook.com%2F178363448880
OPSEU Local 533 & 534,"2221 Yonge St, Toronto, ON M4S 2B4",No description,416-486-7677,No second phone number,No website
Cupe Local 3261,"703 Spadina Ave, Toronto, ON M5S 2J4",No description,416-946-7620,No second phone number,www.facebook.com%2F389033001536
International Brotherhood Of Electrical Workers,"1450 Meyerside Dr, Mississauga, ON L5T 2N5",No description,905-564-5441,No second phone number,www.potashcorpciviccentre.com
International Union Of Operating Engineers (Stationary Local) 796,"36 Commercial, Toronto, ON M4G 1Z4",No description,416-693-9564,No second phone number,www.iuoelocal793.org
Millwright District Council,"79 Sunrise Ave, North York, ON M4A 1A9",No description,416-757-5161,No second phone number,www.facebook.com%2F225499771141
Millwright's Local 2309,"79 Sunrise Ave, North York, ON M4A 1A9",No description,416-757-8754,No second phone number,www.millwrightsontario.com
Toronto Civic Employees Union Local 416,"110 Laird Dr, East York, ON M4G 3V3",No description,416-968-7721,No second phone number,www.web.net%2F%7Ecupeont%2Font-div.
The Police Credit Union Ltd-Member Service,"85 Aventura Crt, Mississauga, ON L5T 2Y6",No description,905-795-2280,No second phone number,alongthegardenspath.com
The Police Credit Union,"85 Aventura Crt, Mississauga, ON L5T 2Y6",No description,905-795-2286,No second phone number,www.tpcu.on.ca%2FPersonal
Workers United Canada,"10A-2800 Skymark Ave, Mississauga, ON L4W 5A6",No description,416-510-0887,1-800-268-4064,www.workersunitedunion.ca
CEP Local 6008,"2601 Matheson Blvd E, Mississauga, ON L4W 5A8",No description,905-624-1008,No second phone number,www.cep6008.com
Unifor Local 26,"5225 Orbitor Dr, Mississauga, ON L4W 4Y8",No description,905-624-4526,No second phone number,www.cep26.ca
C A W Local 124,"5 Summer Dr, Scarborough, ON M1K 3C9",No description,416-261-4908,No second phone number,cylex.ca
Canadian Office Products Association,"300-2585 Skymark Ave, Mississauga, ON L4W 4L5",No description,905-624-9462,No second phone number,www.facebook.com%2F128974274639
Seiu Local 2,"2600 Skymark Ave, Mississauga, ON L4W 5B2",No description,905-602-7477,No second phone number,www.seiulocal2.ca
United Steelworkers,"963 O'Connor Dr, East York, ON M4B 2T1",No description,416-759-2822,No second phone number,www.usw.ca
United Steelworkers Local 5805 U S W A,"963 O'Connor Dr, East York, ON M4B 2T1",No description,416-759-2822,No second phone number,No website
CUPE 4400,"1482 Bathurst St, Toronto, ON M5P 3H1","This Local 4400 of the Canadian Union of Public Employees has been formed to improve the social and economic welfare of its members, without regard to gender, sexual orientation, c...
more...
See more text",416-658-4400,No second phone number,www.cupe4400.org
CUPE Local 4400,"1482 Bathurst St, Toronto, ON M5P 3H1",No description,416-393-0440,No second phone number,www.cupe4400.org
FIST International Union,"5555 Eglinton Ave W, Etobicoke, ON M9C 5M1",No description,416-631-7891,No second phone number,www.fistinternationalunion.com
Usw Local 7536,"1158 Aerowood Dr, Mississauga, ON L4W 1Y5",No description,905-624-7536,No second phone number,No website
United Steelworkers Local 9042,"1158 Aerowood Dr, Mississauga, ON L4W 1Y5",No description,905-625-9206,No second phone number,No website
CAW Local 4457,"1200 Aerowood Dr, Mississauga, ON L4W 2S7",No description,905-282-0595,No second phone number,No website
Unifor Local 4457,"44-1200 Aerowood Dr, Mississauga, ON L4W 2S7",No description,905-282-0549,No second phone number,No website
Supertrans Logistic,"22-5484 Tomken Rd, Mississauga, ON L4W 2Z6",No description,905-629-1946,No second phone number,No website
C U P E Local 1628,"1020 Matheson Blvd E, Mississauga, ON L4W 4J9",No description,905-238-0113,No second phone number,www.facebook.com%2F406912676444
Cupe Local 966,"259 Traders Blvd E, Mississauga, ON L4Z 2E5",No description,905-502-6599,No second phone number,www.facebook.com%2Fpages%2FCUPE-Local-966%2F449788331757
Amalgamated Transit Union-Local 1572,"5359 Timberlea Blvd, Mississauga, ON L4W 4N5",No description,905-602-1041,No second phone number,www.atu1572.org
Labour Ready,"672 Woolwich St, Guelph, ON N1H 3Z1",No description,519-829-3617,No second phone number,No website
Dufferin Peel Educational Resource Workers Association,"5805 Whittle Rd, Mississauga, ON L4Z 2J1",No description,905-501-1622,No second phone number,dperwa.com
Cupe Local 2026,"5805 Whittle Rd, Mississauga, ON L4Z 2J1","Union solidarity is based on the principle that union members are equal and deserve mutual respect at all levels. Any behaviour that creates conflict prevents us from working toget...
more...
See more text",905-501-1773,No second phone number,www.cupe2026.ca
Canadian Union Of Public Employees,"5805 Whittle Rd, Mississauga, ON L4Z 2J1",No description,905-501-9686,No second phone number,www.facebook.com%2F136173523919
Canadian Union Of Public Employees Local 1,"890 Yonge St, Toronto, ON M4W 3P4",No description,416-968-2549,No second phone number,www.cupe.ca
IATSE Local 667,"229 Wallace Ave, Toronto, ON M6H 1V5","The Health & Welfare Fund office retains all of your health & welfare enrollment forms, and communicates any enrollment changes to Great-West Life.
more...
See more text",416-368-0072,No second phone number,www.iatse667-669healthplan.com
Amalgamated Transit Union Local 113,"101 Yorkville Ave, Toronto, ON M5R 1C1",No description,416-324-8298,No second phone number,www.atulocal1415.ca
Amalgamated Transit Union Local 113 Alden Heather-Legal Office,"101 Yorkville Ave, Toronto, ON M5R 1C1",No description,416-324-8298,No second phone number,No website
Local 1794,"1794 Danforth Ave, Toronto, ON M4C 1H8","Local 1794 on Danforth between Coxwell and Woodbine is a gastro-pub featuring hand rolled stone baked pizzas, small plates, a good wine selection and 24 beers on tap.
more...
See more text",416-463-1794,No second phone number,www.facebook.com%2Fpages%2FLocal-1794%2F1437599369846
Teamsters Union Admin Service,"5770 Hurontario St, Mississauga, ON L5R 3G5","Teamsters Local Union 938 is the second largest Teamsters local in Canada. We represent 11,000 members throughout the province of Ontario.Our membership is distributed throughout a...
more...
See more text",905-502-1938,No second phone number,www.teamsters938.org
Safia Gahayr,"252 Bloor St W Room 12-221, Toronto, ON M5S 1V6",No description,416-578-5638,No second phone number,No website
Unifor Local 1917,"611 Silvercreek Pky N, Guelph, ON N1H 6J2",No description,519-822-6121,No second phone number,caw.ca
Canadian Auto Workers Local 1917,"611 Silvercreek Pky N, Guelph, ON N1H 6J2",No description,519-836-7561,No second phone number,caw.ca
Canadian Union Of Public Employees,"208 Bloor St W, Toronto, ON M5S 3B4","The Canadian Union of Public Employees is Canada's largest union, with over 627,000 members across the country. CUPE represents workers in health care, emergency services, educatio...
more...
See more text",416-593-7057,No second phone number,www.cupe.ca
Teamster Union Local 938,"275 Matheson Blvd E, Mississauga, ON L4Z 1X8",No description,905-501-0748,No second phone number,No website
Teamsters Local 847,"216 Matheson Blvd E, Mississauga, ON L4Z 1X1",No description,905-502-8895,No second phone number,local847.teamsterscanada.ca
Syndications Canada Inc,"80 Bloor St W, Toronto, ON M5S 2V1",Syndications Canada Inc. is a non-active company with holdings in real estate.,416-921-2830,No second phone number,www.syndicationscanada.com
Canadian Union Of Public,"180 Bloor St W, Toronto, ON M5S 2V6",No description,416-593-9866,No second phone number,No website
Canadian Union Of Public Employees,"180 Bloor St W, Toronto, ON M5S 2V6",No description,416-593-6150,No second phone number,No website
Communications Energy And Paperworks Union OfCanada Local 591 G,"324 Prince Edward Dr S, Toronto, ON M8Y 3Z5",No description,416-231-3377,No second phone number,www.cep591g.com
Communications Energy And Paperworks Union Of Canada Local 591 G,"324 Prince Edward Dr S, Toronto, ON M8Y 3Z5",No description,416-233-3377,No second phone number,www.cep591g.com
Educational Resource Facilitators Of Peel,"5080 Timberlea Blvd, Mississauga, ON L4W 4M2",No description,905-602-9300,No second phone number,www.erfp.ca
ACTRA,"625 Church St, Toronto, ON M4Y 2E8",No description,416-489-1311,No second phone number,www.facebook.com%2Fpages%2Factra-national%2F125652344169
ACTRA Toronto Performers,"625 Church St, Toronto, ON M4Y 2E8","I feel as if Toronto is my set. To leave this city would alter who I am as an artist. - Adam Ruggiero, Fall 2011 Performers MagazineAbout UsACTRA Toronto > About UsACTRA Toronto is...
more...
See more text",416-928-2278,No second phone number,www.actratoronto.com
Union Des Artistes,"625 Church St, Toronto, ON M4Y 2G1",No description,416-485-7670,No second phone number,www.uniondesartistes.com
Martins Cristina MPP,"1199 Bloor St W, Toronto, ON M6H 1N4","Jonah Schein was elected October 6, 2011 to represent the west-Toronto riding of Davenport in the Provincial Parliament.Jonah was born and raised in Toronto and has devoted his lif...
more...
See more text",416-535-3158,No second phone number,jonahscheinmpp.ca
Unifor Local 40,"720 Spadina Ave, Toronto, ON M5S 2T9",No description,416-972-7662,No second phone number,www.cawlocal.ca
Ontario Tire Stewardship,"100-300 The East Mall, Etobicoke, ON M9B 6B7",No description,416-234-5397,1-888-687-2202,rethinktires.ca
Ontarion Public Service Employees Union,"31 Wellesley St E, Toronto, ON M4Y 1G7",No description,416-944-0223,No second phone number,www.facebook.com%2F130605423662
International Assn Bridge Structural Ornamental& Reinforcing Iron Workers 721,"909 Kipling Ave, Etobicoke, ON M8Z 5H3",No description,416-236-4026,No second phone number,www.iw721.org
Iron Workers Training Centre,"909 Kipling Ave, Etobicoke, ON M8Z 5H3",No description,416-232-1046,No second phone number,iw721.org
Bakery Confectionery & Tobacco Workers International Union Local 264,"6655 Kitimat Rd, Mississauga, ON L5N 6J4",No description,905-858-7977,No second phone number,No website
Triggertech,"117 Judge Rd, Etobicoke, ON M8Z 5B5",No description,647-748-8324,No second phone number,No website
Iatse Local B173,"615-433 Jarvis St, Toronto, ON M4Y 2G9",No description,416-871-5580,No second phone number,No website
Ontario Nurses Association,"400-85 Grenville St, Toronto, ON M5S 3A2",No description,416-964-8833,1-800-387-5580,www.ona.org
Ontario Nurses Association,"400-85 Grenville St, Toronto, ON M5S 3A2",No description,416-964-0770,No second phone number,www.ona.org
CEIU Canada Employment & Immigration Union,"2 Carlton St, Toronto, ON M5B 1J3",No description,416-488-3000,No second phone number,www.ceiu-seic.ca
CLAC,"2335 Argentia Rd, Mississauga, ON L5N 0A3","Formed in 1952, CLAC is one of Canada’s fastest-growing unions. Operating through 15 member centres, it is the country’s largest national, independent, multi-sector union represent...
more...
See more text",1-800-268-5281,No second phone number,clac.ca
United Food & Commercial Workers International Union,"277 Gladstone Ave, Toronto, ON M6J 3L9",No description,416-536-3411,No second phone number,www.ufcw.ca
CAW Local 512,"44 Advance Rd, Etobicoke, ON M8Z 2T4",No description,416-234-5008,No second phone number,No website
Carpenters Local 397,"459 Croft St, Port Hope, ON L1A 4H1",No description,905-885-0885,No second phone number,carpenters.org
USW Local l3571,"25 Cecil St, Toronto, ON M5T 1N1","Don't let the name fool you. United Steel Workers Local 1998 is a union of clerical and professional employees of the University of Toronto.
more...
See more text",416-259-3931,No second phone number,www.usw1998.ca
USWA Job Action Centre,"25 Cecil St, Toronto, ON M5T 1N1",No description,416-597-1143,No second phone number,No website
USWA Steel Workers Local 5296,"25 Cecil St, Toronto, ON M5T 1N1",No description,416-351-8622,No second phone number,No website
United Steelworkers Local 8300,"25 Cecil St, Toronto, ON M5T 1N1",No description,416-979-8662,No second phone number,www.jarvisassociates.ca
United Steelworkers Local 3950,"25 Cecil St, Toronto, ON M5T 1N1",No description,416-977-9066,No second phone number,www.facebook.com%2F586072864890
United Steel Workers,"25 Cecil St, Toronto, ON M5T 1N1",No description,416-351-1465,No second phone number,www.facebook.com%2Fuswmetal
United Steel Workers,"25 Cecil St, Toronto, ON M5T 1N1",No description,416-597-6838,No second phone number,www.usw.ca
USWA Injured Workers Program Association Inc,"26 Cecil St, Toronto, ON M5T 1N1",No description,416-593-4466,No second phone number,No website
Ont Council Of Hospital,"261 Gerrard E, Toronto, ON M5A 2G1",No description,416-599-5434,No second phone number,www.ochu.on.ca
USWA Local 1998,"25 Cecil, Toronto, ON M5T 1N1",No description,416-506-0640,No second phone number,www.usw1998.ca
United Steelworkers Local 5296,"25 Cecil, Toronto, ON M5T 1N1",No description,416-593-0142,No second phone number,No website
Communications Energy&Paperworkers Union,"2077 Dundas St E, Mississauga, ON L4X 1M2",No description,905-238-0207,No second phone number,No website
Iatse Local 411,"104-2087 Dundas St E, Mississauga, ON L4X 2V7",No description,905-232-6411,No second phone number,iatse411.ca
United Food & Commercial Workers Union,"2200 Argentia Rd, Mississauga, ON L5N 2K7","The United Food & Commercial Workers (UFCW) is one of the largest and most respected Unions in North America with over 1.5 million members. Over 230,000 workers belong to UFCW Cana...
more...
See more text",905-821-8329,1-800-565-8329,www.ufcw175.com
Unifor Local 2003E,"105-2065 Dundas St E, Mississauga, ON L4X 2W1",No description,905-238-0877,1-800-263-0855,uniforlocal2003e.org
Unifor Local 2003 E,"2065 Dundas St E, Mississauga, ON L4X 2W1",No description,905-238-8823,No second phone number,No website
Amapceo,"2310-1 Dundas St W, Toronto, ON M5G 1Z3","The Association of Management, Administrative and Professional Crown Employees of Ontario (AMAPCEO) is a bargaining agent representing 12,000 professional and supervisory public se...
more...
See more text",416-595-9000,1-888-262-7236,www.amapceo.on.ca
Toronto Chinese Garment Workers' Association,"50 Grange Ave, Toronto, ON M5T 1C7",No description,416-596-7308,No second phone number,No website
